"FTE Staffing Report for 2022-23"

"District","School","Assignment Category","Educator Type","FTE Count"
"Colchester School District","Bacon Academy","Administrators  Coordinators and Department Chairs - School Level","Certified",2.8
"Colchester School District","Bacon Academy","Counselors  Social Workers  and School Psychologists","Certified",7.0
"Colchester School District","Bacon Academy","General Education - Paraprofessional Instructional Assistants","Non-Certified",5.0
"Colchester School District","Bacon Academy","General Education - Teachers and Instructors","Certified",53.4
"Colchester School District","Bacon Academy","Instructional Specialists Who Support Teachers","Certified",1.4
"Colchester School District","Bacon Academy","Library/Media - Specialists (Certified)","Certified",1.0
"Colchester School District","Bacon Academy","Library/Media - Support Staff","Non-Certified",1.5
"Colchester School District","Bacon Academy","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",20.5
"Colchester School District","Bacon Academy","School Nurses","Non-Certified",1.5
"Colchester School District","Bacon Academy","Special Education - Paraprofessional Instructional Assistants","Non-Certified",8.0
"Colchester School District","Bacon Academy","Special Education - Teachers and Instructors","Certified",4.0
"Colchester School District","Colchester Elementary School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0
"Colchester School District","Colchester Elementary School","Counselors  Social Workers  and School Psychologists","Certified",1.0
"Colchester School District","Colchester Elementary School","General Education - Paraprofessional Instructional Assistants","Non-Certified",14.0
"Colchester School District","Colchester Elementary School","General Education - Teachers and Instructors","Certified",37.0
"Colchester School District","Colchester Elementary School","Instructional Specialists Who Support Teachers","Certified",7.0
"Colchester School District","Colchester Elementary School","Library/Media - Specialists (Certified)","Certified",1.0
"Colchester School District","Colchester Elementary School","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","Colchester Elementary School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",15.0
"Colchester School District","Colchester Elementary School","School Nurses","Non-Certified",1.0
"Colchester School District","Colchester Elementary School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",23.0
"Colchester School District","Colchester Elementary School","Special Education - Teachers and Instructors","Certified",9.0
"Colchester School District","East of the River Transition Academy","Administrators  Coordinators and Department Chairs - School Level","Certified",0.2
"Colchester School District","East of the River Transition Academy","General Education - Paraprofessional Instructional Assistants","Non-Certified",2.0
"Colchester School District","East of the River Transition Academy","Library/Media - Support Staff","Non-Certified",0.0
"Colchester School District","East of the River Transition Academy","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",0.5
"Colchester School District","East of the River Transition Academy","School Nurses","Non-Certified",0.0
"Colchester School District","East of the River Transition Academy","Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0
"Colchester School District","East of the River Transition Academy","Special Education - Teachers and Instructors","Certified",1.0
"Colchester School District","Jack Jackter Intermediate School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0
"Colchester School District","Jack Jackter Intermediate School","Counselors  Social Workers  and School Psychologists","Certified",3.0
"Colchester School District","Jack Jackter Intermediate School","General Education - Paraprofessional Instructional Assistants","Non-Certified",8.0
"Colchester School District","Jack Jackter Intermediate School","General Education - Teachers and Instructors","Certified",33.6
"Colchester School District","Jack Jackter Intermediate School","Instructional Specialists Who Support Teachers","Certified",4.0
"Colchester School District","Jack Jackter Intermediate School","Library/Media - Specialists (Certified)","Certified",1.0
"Colchester School District","Jack Jackter Intermediate School","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","Jack Jackter Intermediate School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",12.8
"Colchester School District","Jack Jackter Intermediate School","School Nurses","Non-Certified",1.0
"Colchester School District","Jack Jackter Intermediate School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",17.0
"Colchester School District","Jack Jackter Intermediate School","Special Education - Teachers and Instructors","Certified",6.0
"Colchester School District","William J. Johnston Middle School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0
"Colchester School District","William J. Johnston Middle School","Counselors  Social Workers  and School Psychologists","Certified",4.0
"Colchester School District","William J. Johnston Middle School","General Education - Paraprofessional Instructional Assistants","Non-Certified",3.0
"Colchester School District","William J. Johnston Middle School","General Education - Teachers and Instructors","Certified",37.0
"Colchester School District","William J. Johnston Middle School","Instructional Specialists Who Support Teachers","Certified",2.6
"Colchester School District","William J. Johnston Middle School","Library/Media - Specialists (Certified)","Certified",1.0
"Colchester School District","William J. Johnston Middle School","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","William J. Johnston Middle School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",13.0
"Colchester School District","William J. Johnston Middle School","School Nurses","Non-Certified",1.0
"Colchester School District","William J. Johnston Middle School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",13.0
"Colchester School District","William J. Johnston Middle School","Special Education - Teachers and Instructors","Certified",6.0

